WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
122,119,113,0,3
122,122,122,0,3
116,122,122,0,3
122,122,116,0,3
122,116,116,0,3
122,200,122,0,2
119,119,116,0,2
116,119,122,0,2
116,113,122,0,3
116,113,116,0,2
143,113,116,0,1
116,122,122,0,2
143,116,116,0,2
116,122,116,0,3
122,119,119,0,3
116,113,119,0,2
122,122,116,0,1
116,116,116,0,1
122,122,122,0,1
200,122,122,0,1
122,119,116,0,1
122,116,122,0,1
116,119,122,0,1
119,122,116,0,1
113,116,113,0,1
113,116,119,0,1
122,122,248,0,1
248,122,119,0,1
143,122,116,0,1
122,122,116,0,1
116,116,116,0,1
113,116,113,0,1
119,122,116,0,1
122,122,119,0,1
113,113,113,0,1
122,122,116,0,1
113,122,119,0,1
116,113,113,0,1
122,113,113,0,1
119,122,113,0,1
113,116,113,0,1
122,119,113,0,1
122,143,143,0,1
113,116,122,0,1
143,113,119,0,1
122,143,122,0,1
248,122,143,0,1
119,122,119,0,1
116,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
119,122,119,0,1
122,122,122,0,1
113,113,113,0,1
119,113,113,0,2
122,119,119,0,3
116,113,116,0,3
119,116,119,0,3
116,122,116,0,3
122,113,116,0,3
113,122,119,0,4
122,116,119,0,2
113,116,119,0,3
116,122,122,0,3
116,122,113,0,3
116,116,122,0,3
119,122,119,0,2
122,116,122,0,1
116,113,116,0,1
116,122,113,0,1
113,122,119,0,1
122,122,122,0,1
116,116,116,0,1
143,116,116,0,1
143,116,122,0,1
122,122,119,0,1
122,122,113,0,1
116,200,122,0,1
248,113,122,0,1
122,113,113,0,1
119,122,119,0,1
122,122,143,0,1
116,122,113,0,1
113,122,116,0,1
113,119,116,0,1
122,119,113,0,1
116,119,143,0,1
248,122,143,0,1
248,122,143,0,1
143,116,113,0,1
200,119,122,0,1
143,116,116,0,1
143,116,113,0,1
143,113,116,0,1
116,116,116,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,116,113,0,1
143,119,113,0,1
113,113,113,0,1
122,113,113,0,1
116,116,116,0,1
116,122,122,0,1
113,116,113,0,1
119,122,122,0,1
113,113,116,0,3
122,122,143,0,3
113,113,113,0,3
113,113,113,0,4
113,113,113,0,4
116,116,113,0,4
113,113,113,0,5
116,119,116,0,5
113,116,113,0,3
113,122,113,0,4
113,113,119,0,4
143,122,113,0,3
116,113,113,0,3
116,122,116,0,4
119,113,113,0,4
116,113,116,0,4
116,116,113,0,3
113,113,122,0,3
116,113,113,0,4
113,113,113,0,4
113,113,113,0,5
113,116,116,0,4
116,113,200,0,4
116,119,116,0,4
200,116,200,0,4
116,116,113,0,5
116,113,116,0,4
116,119,116,0,4
119,119,116,0,4
122,122,122,0,4
119,119,113,0,1
116,116,113,0,1
116,119,119,0,1
143,119,116,0,1
119,122,119,0,1
122,122,122,0,1
143,122,116,0,1
116,113,116,0,1
116,116,113,0,1
143,119,122,0,1
143,116,113,0,1
113,119,116,0,1
116,122,122,0,1
119,119,113,0,1
116,122,119,0,1
116,122,122,0,1
122,122,119,0,1
119,119,116,0,1
116,113,113,0,1
116,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,116,0,1
113,116,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
116,116,116,0,1
119,116,116,0,1
119,116,113,0,1
119,119,116,0,1
119,116,113,0,1
113,119,113,0,1
113,113,113,0,1
113,113,116,0,1
113,116,113,0,1
113,113,113,0,1
116,116,116,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
116,122,113,0,1
113,113,113,0,1
116,116,116,0,1
116,113,116,0,1
119,119,113,0,1
113,122,116,0,1
113,113,113,0,1
116,113,113,0,1
113,113,113,0,1
113,116,119,0,1
113,122,116,0,1
119,122,122,0,1
122,122,116,0,1
113,116,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,353,0,1
116,119,113,0,1
119,116,113,0,1
116,119,113,0,1
116,116,113,0,1
113,119,122,0,1
116,116,116,0,1
116,116,116,0,1
116,113,113,0,1
113,113,119,0,1
113,113,116,0,1
113,113,113,0,1
113,113,113,0,1
119,119,116,0,1
119,116,119,0,1
113,116,113,0,1
113,122,116,0,1
116,116,113,0,1
116,119,113,0,1
113,119,116,0,1
119,113,113,0,1
113,113,113,0,1
122,119,116,0,1
116,116,116,0,1
143,113,113,0,1
113,113,113,0,1
113,113,113,0,1
116,113,116,0,1
113,113,116,0,1
116,116,113,0,1
143,119,113,0,1
113,113,113,0,1
113,113,113,0,1
116,113,113,0,1
113,113,113,0,1
113,113,113,0,1
143,122,119,0,1
119,113,113,0,1
113,113,113,0,1
116,113,113,0,1
113,113,113,0,1
119,119,116,0,1
143,116,113,0,1
113,113,113,0,1
