WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
122,122,122,0,1
113,116,116,0,1
122,122,122,0,1
113,113,119,0,1
122,122,119,0,1
116,116,116,0,1
119,116,116,0,1
143,119,116,0,1
116,119,119,0,1
143,113,116,0,1
113,113,113,0,1
143,113,113,0,1
143,122,113,0,1
116,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,116,0,1
116,122,248,0,1
119,122,122,0,1
116,116,113,0,1
119,122,119,0,1
119,119,122,0,1
143,116,113,0,1
116,119,119,0,1
143,119,119,0,1
122,113,113,0,1
113,113,113,0,1
143,116,113,0,1
116,116,116,0,1
122,122,248,0,1
119,116,116,0,1
116,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
248,119,116,0,1
119,116,260,0,1
116,113,113,0,1
116,116,116,0,1
113,113,116,0,1
116,113,113,0,1
113,113,113,0,1
113,113,116,0,1
260,116,143,0,1
119,116,122,0,1
116,116,116,0,2
143,119,116,0,3
113,122,248,0,2
143,122,122,0,2
113,113,113,0,1
113,113,113,0,2
119,116,113,0,2
113,113,113,0,2
122,122,248,0,2
248,122,143,0,2
248,122,122,0,2
248,113,116,0,3
116,113,113,0,3
143,113,113,0,3
143,116,113,0,1
248,119,113,0,1
116,119,116,0,1
116,122,113,0,1
113,116,113,0,1
143,116,116,0,1
116,122,116,0,1
143,119,113,0,1
113,113,116,0,1
119,122,116,0,1
248,122,116,0,1
116,113,116,0,1
113,113,113,0,1
113,113,113,0,1
143,113,143,0,1
143,113,143,0,1
119,122,119,0,1
143,200,113,0,1
116,116,116,0,1
113,116,116,0,1
113,122,116,0,1
143,119,116,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
143,113,113,0,1
143,113,113,0,1
116,113,113,0,1
113,113,113,0,1
248,116,113,0,1
116,116,113,0,1
119,119,122,0,1
113,119,116,0,1
143,122,116,0,1
122,122,122,0,1
248,113,113,0,1
116,116,113,0,1
248,116,113,0,1
143,122,119,0,1
248,119,116,0,1
116,119,113,0,1
143,113,113,0,1
119,119,113,0,1
122,122,116,0,1
