WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
116,113,113,0.0,1
113,116,119,0.0,1
143,113,113,0.0,1
143,113,143,0.0,1
143,113,143,0.0,1
143,113,143,0.0,1
143,113,143,0.0,1
143,119,113,0.0,1
119,122,143,0.0,1
122,119,116,0.0,1
116,116,119,0.0,1
116,116,116,0.0,1
116,116,119,0.0,1
119,122,122,0.0,1
116,113,122,0.0,1
122,119,116,0.1,1
116,113,113,0.0,1
119,122,248,0.8,1
116,116,113,0.0,1
119,119,113,0.0,1
200,248,116,0.0,1
143,119,116,0.0,1
122,116,116,0.0,1
143,116,119,0.0,1
113,113,116,0.0,1
122,116,113,0.0,1
113,116,119,0.0,1
122,122,122,0.0,1
122,122,113,0.0,1
116,119,122,0.0,1
122,122,122,0.0,1
119,116,113,0.0,1
119,116,122,0.0,1
119,122,122,0.0,1
119,122,116,0.0,1
113,122,116,0.0,1
116,119,122,0.0,1
122,116,113,0.0,1
122,122,122,0.0,1
122,122,248,0.0,1
116,119,113,0.0,1
143,116,119,0.0,1
116,122,143,0.0,1
119,116,113,0.0,1
143,116,122,0.0,1
143,116,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,116,0.0,1
119,122,116,0.0,1
248,122,116,0.2,1
116,122,119,0.0,1
122,122,119,0.0,1
116,113,113,0.0,1
119,119,113,0.0,1
119,113,113,0.0,1
113,113,113,0.0,1
116,116,116,0.0,1
116,122,143,0.0,1
248,116,122,0.0,1
116,116,119,0.0,1
143,116,113,0.0,1
143,200,116,0.0,1
116,200,143,0.0,1
119,119,119,0.0,1
113,119,113,0.0,1
260,116,113,0.0,1
122,122,113,0.0,1
116,113,113,0.0,1
116,113,116,0.0,1
116,116,119,0.0,1
122,122,119,0.0,1
116,116,248,0.0,1
119,119,119,0.0,1
248,122,116,0.0,1
122,116,116,0.0,1
113,113,116,0.0,1
260,113,113,0.0,1
122,122,248,0.0,1
248,122,119,0.0,1
143,113,113,0.0,1
113,113,116,0.0,1
122,113,119,0.0,1
113,113,116,0.0,1
119,116,122,0.0,1
143,122,143,1.2,1
122,119,116,0.0,1
143,122,122,0.0,1
143,116,119,0.0,1
116,122,113,0.0,1
143,122,122,0.0,1
248,122,116,0.0,1
116,113,113,0.0,1
122,122,116,0.0,1
116,113,113,0.0,1
122,113,116,0.0,1
113,116,113,0.0,1
113,113,113,0.0,1
143,116,113,0.0,1
248,113,113,0.0,1
248,113,113,0.0,1
113,116,119,0.0,1
248,119,116,0.0,1
122,122,116,0.0,1
248,113,113,0.0,1
113,113,113,0.0,1
143,122,116,0.0,1
113,113,116,0.0,1
143,113,113,0.0,1
116,119,113,0.0,1
116,116,119,0.0,1
122,122,248,0.0,1
248,122,116,0.0,1
143,113,113,0.0,1
113,113,113,0.0,1
143,116,113,0.0,1
116,113,113,0.0,1
119,116,119,0.0,1
122,122,119,0.0,1
116,122,113,0.0,1
116,119,119,0.0,1
143,116,116,0.0,1
113,119,116,0.0,1
119,119,116,0.0,1
119,122,122,0.0,1
122,122,113,0.0,1
116,116,113,0.0,1
113,200,113,0.0,1
119,116,119,0.0,1
122,122,122,0.0,1
248,122,143,0.0,1
119,122,122,0.0,1
119,119,113,0.0,1
116,119,116,0.0,1
119,116,113,0.0,1
113,113,113,0.0,1
113,113,116,0.0,1
116,116,119,0.0,1
116,119,116,0.0,1
248,122,116,0.0,1
119,122,113,0.0,1
119,116,113,0.0,1
116,116,116,0.0,1
113,113,113,0.0,1
113,116,116,0.0,1
113,116,116,0.0,1
116,113,113,0.0,1
113,200,200,0.0,1
248,200,116,0.0,1
116,122,119,0.0,1
119,119,116,0.0,1
248,122,122,0.0,1
248,119,116,0.0,1
143,116,113,0.0,1
122,113,113,0.0,1
116,119,113,0.0,1
113,113,116,0.0,1
122,122,119,0.0,1
116,116,119,0.0,1
119,200,113,0.0,1
116,119,119,0.0,1
119,119,116,0.0,1
122,122,119,0.0,1
119,119,116,0.0,1
116,116,116,0.0,1
116,113,116,0.0,1
113,119,113,0.0,1
116,116,113,0.0,1
122,122,119,0.0,1
122,122,113,0.0,1
113,113,113,0.0,1
116,116,113,0.0,4
116,113,122,0.0,4
122,119,116,0.0,4
119,119,113,0.0,4
116,119,116,0.0,4
113,113,113,0.0,5
113,113,113,0.0,6
113,113,113,0.0,6
113,113,113,0.0,6
116,113,113,0.0,5
113,113,113,0.0,5
113,113,113,0.0,6
113,113,113,0.0,6
113,113,113,0.0,6
113,113,113,0.0,6
113,113,200,0.0,6
113,113,200,0.0,6
143,116,200,0.0,5
113,113,113,0.0,6
