DATE,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
2016-01-01,122,119,116,0,1
2016-01-02,122,122,119,0,1
2016-01-03,122,122,119,0,1
2016-01-04,116,119,119,0,1
2016-01-05,116,200,116,0,1
2016-01-06,119,116,122,0,1
2016-01-07,122,113,116,0,1
2016-01-08,143,116,122,0,1
2016-01-09,113,122,200,0,1
2016-01-10,122,116,116,0,1
2016-01-11,116,113,176,0,1
2016-01-12,116,113,113,0,1
2016-01-13,113,122,122,0,1
2016-01-14,116,113,113,0,1
2016-01-15,113,113,113,0,1
2016-01-16,119,116,113,0,1
2016-01-17,119,122,122,0,1
2016-01-18,122,122,248,0,1
2016-01-19,143,119,119,0,1
2016-01-20,143,119,116,0,1
2016-01-21,113,119,116,0,1
2016-01-22,122,122,119,0,1
2016-01-23,113,116,122,0,1
2016-01-24,119,113,113,0,1
2016-01-25,116,116,116,0,1
2016-01-26,113,113,116,0,1
2016-01-27,116,119,122,0,1
2016-01-28,122,119,113,0,1
2016-01-29,116,119,122,0,1
2016-01-30,122,122,143,0,1
2016-01-31,122,122,122,0,1
2016-02-01,122,122,122,0,1
2016-02-02,122,122,116,0,1
2016-02-03,113,113,113,0,1
2016-02-04,122,122,143,0,1
2016-02-05,248,116,116,0,1
2016-02-06,119,122,119,0,1
2016-02-07,113,113,122,0,1
2016-02-08,116,122,116,0,1
2016-02-09,200,200,116,0,1
2016-02-10,116,116,113,0,1
2016-02-11,116,116,119,0,1
2016-02-12,122,119,116,0,1
2016-02-13,122,122,113,0,1
2016-02-14,200,116,116,0,1
2016-02-15,113,116,113,0,1
2016-02-17,122,116,122,0,1
2016-02-18,143,119,113,0,1
2016-02-19,113,116,116,0,1
2016-02-20,122,122,122,0,1
2016-02-21,122,122,122,0,1
2016-02-22,119,122,116,0,1
2016-02-23,122,122,122,0,1
2016-02-24,122,143,122,0,1
2016-02-25,113,113,122,0,1
2016-02-26,113,113,116,0,1
