DATE,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
2011-01-01,116,116,119,0,1
2011-01-02,143,119,113,0,1
2011-01-04,116,116,113,0,1
2011-01-05,119,119,122,0,1
2011-01-07,122,113,116,0,1
2011-01-08,119,119,248,0,1
2011-01-09,113,113,113,0,1
2011-01-10,119,119,122,0,1
2011-01-11,122,122,113,0,1
2011-01-12,122,122,122,0,1
2011-01-13,122,122,116,0,1
2011-01-14,119,116,119,0,1
2011-01-15,116,116,116,0,1
2011-01-16,113,113,113,0,1
2011-01-17,122,119,116,0,1
2011-01-18,116,122,113,0,1
2011-01-19,116,113,113,0,1
2011-01-20,116,116,116,0,1
2011-01-21,116,113,113,0,1
2011-01-22,119,119,119,0,1
2011-01-23,119,119,116,0,1
2011-01-24,122,122,116,0,1
2011-01-25,143,113,122,0,1
2011-01-26,248,248,248,0,1
2011-01-27,119,116,116,0,1
2011-01-28,116,116,116,0,1
2011-01-30,260,113,113,0,1
2011-01-31,113,113,113,0,1
2011-02-01,113,116,116,0,1
2011-02-02,248,143,122,0,1
2011-02-03,122,116,113,0,1
2011-02-04,119,122,119,0,1
2011-02-05,122,119,116,0,1
2011-02-07,113,113,113,0,1
2011-02-08,119,116,113,0,1
2011-02-09,113,116,143,0,1
2011-02-10,143,119,143,0,1
2011-02-11,143,116,113,0,1
2011-02-12,248,113,113,0,1
2011-02-13,119,116,248,0,1
2011-02-14,116,113,116,0,1
2011-02-15,116,113,113,0,1
2011-02-16,116,119,122,0,1
2011-02-17,116,113,113,0,1
2011-02-18,143,113,116,0,1
2011-02-19,122,116,143,0,1
2011-02-20,248,119,113,0,1
2011-02-21,143,119,248,0,1
2011-02-22,248,122,248,0,1
2011-02-23,248,122,122,0,1
2011-02-24,248,119,143,0,1
2011-02-25,143,122,143,0,1
2011-02-26,122,119,116,0,1
2011-02-27,116,116,119,0,1
2011-03-01,143,116,113,0,2
2011-03-02,116,113,113,0,2
2011-03-03,119,119,119,0,2
2011-03-04,116,116,116,0,2
2011-03-05,116,116,116,0,3
2011-03-06,116,116,119,0,3
2011-03-07,143,113,113,0,2
2011-03-08,248,116,113,0,3
2011-03-09,248,116,113,0,3
2011-03-10,143,116,119,0,2
2011-03-11,248,119,113,0,2
2011-03-12,248,122,122,0,2
2011-03-13,248,122,143,0,2
2011-03-14,122,200,200,0,3
2011-03-15,116,119,200,0,4
2011-03-16,122,116,113,0,4
2011-03-17,143,119,116,0,2
2011-03-18,122,119,119,0,2
2011-03-19,116,113,113,0,2
2011-03-20,248,122,113,0,2
2011-03-21,113,113,113,0,3
2011-03-22,113,113,113,0,3
2011-03-23,113,113,113,0,3
2011-03-24,113,113,113,0,4
2011-03-25,116,116,113,0,4
2011-03-26,143,116,119,0,3
2011-03-27,248,122,143,0,3
2011-03-28,248,122,116,0,3
2011-03-29,248,119,116,0,3
2011-03-30,248,122,122,0,2
2011-03-31,119,122,119,0,3
2011-04-01,248,113,113,0,1
2011-04-02,113,113,116,0,1
2011-04-03,143,119,119,0,1
2011-04-04,143,113,113,0,1
2011-04-05,113,113,113,0,1
2011-04-06,116,113,113,0,1
2011-04-07,113,113,113,0,1
2011-04-08,113,113,113,0,1
2011-04-09,113,113,113,0,1
2011-04-10,248,113,113,0,1
2011-04-11,248,116,119,0,1
2011-04-12,116,113,113,0,1
2011-04-13,113,119,122,0,1
2011-04-14,113,113,113,0,1
2011-04-15,113,116,116,0,1
2011-04-16,113,113,113,0,1
2011-04-17,113,113,113,0,1
2011-04-18,113,113,113,0,1
2011-04-19,113,113,113,0,1
2011-04-20,113,116,113,0,1
2011-04-21,116,119,200,0,1
2011-04-22,113,113,113,0,1
2011-04-23,113,113,113,0,1
2011-04-24,248,113,113,0,1
2011-04-25,248,113,113,0,1
2011-04-26,113,113,113,0,1
2011-04-27,113,113,113,0,1
2011-04-28,113,113,116,0,1
2011-04-29,143,119,119,0,1
2011-04-30,248,116,113,0,1
2011-05-01,248,122,200,0,1
2011-05-02,248,200,200,0,1
2011-05-03,248,122,119,0,1
2011-05-04,116,119,113,0,1
2011-05-05,143,113,113,0,1
2011-05-06,116,116,113,0,1
2011-05-07,143,116,116,0,1
2011-05-08,248,116,113,0,1
2011-05-09,116,116,113,0,1
2011-05-10,113,116,113,0,1
2011-05-11,116,119,113,0,1
2011-05-12,113,113,113,0,1
2011-05-13,113,116,113,0,1
2011-05-14,116,113,113,0,1
2011-05-15,143,119,113,0,1
2011-05-16,116,119,119,0,1
2011-05-17,116,116,113,0,1
2011-05-18,113,113,113,0,1
2011-05-19,119,113,116,0,1
2011-05-20,143,119,116,0,1
2011-05-21,143,122,113,0,1
2011-05-22,116,119,116,0,1
2011-05-23,113,113,113,0,1
2011-05-24,116,113,113,0,1
2011-05-25,113,113,113,0,1
2011-05-26,116,119,116,0,1
2011-05-27,116,116,113,0,1
2011-05-28,113,113,113,0,1
2011-05-30,119,119,116,0,1
2011-05-31,116,113,113,0,1
2011-06-01,116,113,113,0,1
2011-06-02,113,113,113,0,1
2011-06-04,143,200,200,0,1
2011-06-05,143,122,119,0,1
2011-06-07,116,116,116,0,1
2011-06-08,113,113,113,0,1
2011-06-09,113,116,113,0,1
2011-06-10,122,116,113,0,1
2011-06-11,113,116,116,0,1
2011-06-12,119,296,296,0,1
2011-06-13,143,122,119,0,1
2011-06-14,143,116,113,0,1
2011-06-15,116,122,143,0,1
2011-06-16,119,116,116,0,1
2011-06-17,119,116,119,0,1
2011-06-18,116,116,116,0,1
2011-06-19,119,119,119,0,1
2011-06-20,122,122,116,0,1
2011-06-21,248,122,122,0,1
2011-06-22,119,116,119,0,1
2011-06-23,113,116,113,0,1
2011-06-24,116,116,113,0,1
2011-06-25,113,113,113,0,1
2011-06-27,116,116,116,0,1
2011-06-28,200,122,119,0,1
2011-06-29,113,113,113,0,1
2011-06-30,113,116,113,0,1
2011-07-01,113,113,113,0,1
2011-07-02,113,116,113,0,1
2011-07-03,113,119,119,0,1
2011-07-04,113,113,116,0,1
2011-07-05,113,116,116,0,1
2011-07-06,116,113,113,0,1
2011-07-07,116,122,119,0,1
2011-07-08,119,116,122,0,1
2011-07-09,116,116,113,0,1
2011-07-10,113,116,113,0,1
2011-07-11,113,113,113,0,1
2011-07-12,119,116,119,0,1
2011-07-13,116,119,113,0,1
2011-07-14,113,113,113,0,1
2011-07-15,113,116,116,0,1
2011-07-16,122,122,122,0,1
2011-07-17,116,122,119,0,1
2011-07-18,116,116,116,0,1
2011-07-20,119,122,116,0,1
2011-07-21,143,119,116,0,1
2011-07-22,143,116,116,0,1
2011-07-23,143,116,116,0,1
2011-07-24,119,122,119,0,1
2011-07-25,248,119,116,0,1
2011-07-26,116,116,116,0,1
2011-07-27,143,116,116,0,1
2011-07-28,113,119,113,0,1
2011-07-29,116,113,113,0,1
2011-07-30,113,113,113,0,1
2011-07-31,116,113,113,0,1
2011-08-01,113,113,113,0,1
2011-08-02,113,116,119,0,1
2011-08-03,116,113,113,0,1
2011-08-04,122,122,122,0,1
2011-08-05,248,122,119,0,1
2011-08-06,119,122,143,0,1
2011-08-07,119,113,119,0,1
2011-08-08,113,116,113,0,1
2011-08-09,116,119,116,0,1
2011-08-10,113,113,113,0,1
2011-08-11,113,113,116,0,1
2011-08-12,248,119,116,0,1
2011-08-13,143,122,116,0,1
2011-08-14,248,119,122,0,1
2011-08-15,143,113,113,0,1
2011-08-16,113,113,113,0,1
2011-08-17,143,113,119,0,1
2011-08-18,143,113,113,0,1
2011-08-19,143,113,113,0,1
2011-08-20,143,113,116,0,1
2011-08-21,248,116,116,0,1
2011-08-22,143,200,359,0,1
2011-08-23,122,122,116,0,1
2011-08-24,116,116,113,0,1
2011-08-25,116,116,122,0,1
2011-08-26,116,116,116,0,1
2011-08-27,143,113,116,0,1
2011-08-28,248,119,113,0,1
2011-08-29,143,113,113,0,1
2011-08-30,248,116,116,0,1
2011-09-01,143,116,113,0,1
2011-09-02,248,113,113,0,1
2011-09-03,113,116,116,0,1
2011-09-04,122,116,116,0,1
2011-09-05,113,119,113,0,1
2011-09-07,143,119,113,0,4
2011-09-08,143,119,122,0,5
2011-09-09,248,119,113,0,5
2011-09-10,248,116,113,0,4
2011-09-11,122,119,116,0,5
2011-09-12,122,122,119,0,5
2011-09-13,143,116,113,0,4
2011-09-14,143,113,113,0,4
2011-09-15,113,113,113,0,4
2011-09-16,248,113,113,0,4
2011-09-17,119,122,119,0,4
2011-09-18,116,119,116,0,4
2011-09-19,116,119,116,0,4
2011-09-20,143,119,113,0,3
2011-09-22,248,113,113,0,3
2011-09-23,248,113,113,0,3
2011-09-24,143,113,113,0,4
2011-09-25,113,113,113,0,5
2011-09-26,143,200,116,0,4
2011-09-27,116,113,113,0,6
2011-09-28,113,116,113,0,6
2011-09-29,113,113,113,0,5
2011-09-30,113,113,113,0,6
2011-10-01,113,113,113,0,1
2011-10-02,113,113,113,0,1
2011-10-03,113,113,113,0,1
2011-10-05,248,119,113,0,1
2011-10-07,116,116,113,0,1
2011-10-08,143,119,122,0,1
2011-10-09,143,122,119,0,1
2011-10-10,116,116,113,0,1
2011-10-11,143,116,119,0,1
2011-10-12,119,116,113,0,1
2011-10-13,143,116,113,0,1
2011-10-14,248,113,113,0,1
2011-10-15,143,113,113,0,1
2011-10-16,113,113,113,0,1
2011-10-17,113,113,113,0,1
2011-10-18,119,122,119,0,1
2011-10-19,113,116,113,0,1
2011-10-20,143,116,113,0,1
2011-10-21,113,113,113,0,1
2011-10-22,113,113,113,0,1
2011-10-23,113,113,113,0,1
2011-10-24,116,122,116,0,1
2011-10-25,119,116,116,0,1
2011-10-26,116,116,119,0,1
2011-10-27,116,119,200,0,1
2011-10-28,248,116,116,0,1
2011-10-29,248,122,116,0,1
2011-10-30,143,116,113,0,1
2011-10-31,143,116,113,0,1
2011-11-01,116,113,113,0,1
2011-11-02,116,116,116,0,1
