DATE,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
2014-01-01,116,122,200,0,1
2014-01-03,113,116,113,0,1
2014-01-04,119,122,113,0,1
2014-01-05,113,122,122,0,1
2014-01-06,116,116,113,0,1
2014-01-07,119,113,116,0,1
2014-01-08,116,113,116,0,1
2014-01-09,119,116,116,0,1
2014-01-10,116,122,116,0,1
2014-01-11,143,116,143,0,1
2014-01-12,116,119,116,0,1
2014-01-13,116,113,116,0,1
2014-01-15,119,122,122,0,1
2014-01-16,116,116,116,0,1
2014-01-17,122,122,116,0,1
2014-01-18,116,116,119,0,1
2014-01-19,116,116,119,0,1
2014-01-20,113,116,116,0,1
2014-01-21,113,116,119,0,1
2014-01-22,248,116,113,0,1
2014-01-23,113,122,116,0,1
2014-01-24,122,122,122,0,1
2014-01-25,116,113,116,0,1
2014-01-26,116,122,113,0,1
2014-01-27,116,116,113,0,1
2014-01-28,122,116,122,0,1
2014-01-29,248,122,116,0,1
2014-01-30,143,119,116,0,1
2014-01-31,113,122,122,0,1
2014-02-01,119,113,113,0,1
2014-02-02,113,116,113,0,1
2014-02-03,122,113,122,0,1
2014-02-04,119,116,122,0,1
2014-02-05,119,119,113,0,1
2014-02-06,119,116,122,0,1
2014-02-07,116,113,116,0,1
2014-02-08,122,116,200,0,1
2014-02-09,116,122,119,0,1
2014-02-10,119,119,116,0,1
2014-02-11,122,122,113,0,1
2014-02-12,113,119,116,0,1
2014-02-13,122,116,113,0,1
2014-02-14,122,116,116,0,1
2014-02-15,116,116,113,0,1
2014-02-16,116,116,116,0,1
2014-02-17,116,116,116,0,1
2014-02-18,143,116,113,0,1
2014-02-19,143,122,119,0,1
2014-02-20,122,122,116,0,1
2014-02-21,113,116,116,0,1
2014-02-22,200,119,113,0,1
2014-02-23,116,119,116,0,1
2014-02-24,116,113,113,0,1
2014-02-25,113,116,113,0,1
2014-02-26,113,113,113,0,1
2014-02-27,122,116,122,0,1
2014-02-28,116,200,119,0,1
2014-03-01,143,119,113,0,2
2014-03-02,116,122,122,0,3
2014-03-03,200,116,116,0,2
2014-03-04,116,119,122,0,3
2014-03-05,143,113,116,0,2
2014-03-06,113,113,113,0,3
2014-03-07,116,113,113,0,3
2014-03-08,113,113,113,0,3
2014-03-09,113,113,113,0,4
2014-03-10,113,113,113,0,4
2014-03-11,116,113,113,0,3
2014-03-12,143,113,113,0,3
2014-03-13,113,113,113,0,3
2014-03-15,248,116,116,0,2
2014-03-16,143,113,113,0,2
2014-03-17,143,113,113,0,2
2014-03-18,143,119,119,0,3
2014-03-19,248,113,113,0,2
2014-03-20,143,113,113,0,3
2014-03-21,119,113,119,0,3
2014-03-22,122,116,116,0,3
2014-03-23,113,119,113,0,3
2014-03-24,116,116,119,0,3
2014-03-25,119,119,116,0,2
2014-03-26,119,119,119,0,3
2014-03-27,143,122,248,0,1
2014-03-28,122,116,143,0,2
2014-03-29,113,116,116,0,4
2014-03-30,113,113,113,0,4
2014-03-31,116,122,113,0,4
2014-04-01,113,116,113,0,1
2014-04-02,116,113,116,0,1
2014-04-03,248,122,122,0,1
2014-04-04,248,122,113,0,1
2014-04-05,143,122,122,0,1
2014-04-06,122,119,116,0,1
2014-04-07,116,116,116,0,1
2014-04-08,143,119,113,0,1
2014-04-09,248,113,113,0,1
2014-04-11,116,113,113,0,1
2014-04-12,248,113,113,0,1
2014-04-13,113,113,116,0,1
2014-04-14,143,113,113,0,1
2014-04-15,113,113,113,0,1
2014-04-17,113,113,113,0,1
2014-04-18,116,116,116,0,1
2014-04-19,113,116,116,0,1
2014-04-20,248,119,113,0,1
2014-04-21,116,119,113,0,1
2014-04-22,143,116,113,0,1
2014-04-23,143,119,116,0,1
2014-04-24,143,116,119,0,1
2014-04-25,119,119,116,0,1
2014-04-26,143,113,116,0,1
2014-04-27,122,119,116,0,1
2014-04-28,116,116,116,0,1
2014-04-29,248,122,116,0,1
2014-04-30,143,113,122,0,1
2014-05-01,122,119,116,0,1
2014-05-03,116,113,113,0,1
2014-05-04,113,113,113,0,1
2014-05-05,113,116,116,0,1
2014-05-06,122,119,116,0,1
2014-05-07,116,122,113,0,1
