WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
113,116,113,0.0,1
122,248,113,0.0,1
122,122,119,0.0,1
122,119,119,0.0,1
248,113,143,0.0,1
113,113,119,0.0,1
119,122,113,0.0,1
122,119,122,0.0,1
122,119,122,0.0,1
113,113,116,0.0,1
122,116,113,0.0,1
116,116,122,0.0,1
122,122,122,0.0,1
116,122,113,0.0,1
113,116,113,0.0,1
119,122,122,0.0,1
113,113,113,0.0,1
116,122,119,0.0,1
122,122,116,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
122,113,113,0.0,1
116,119,116,0.0,1
119,122,122,0.0,1
122,122,122,0.0,1
119,122,122,0.0,1
122,122,116,0.0,1
116,116,116,0.0,1
119,116,113,0.0,1
113,116,113,0.0,1
113,122,122,0.0,2
119,119,122,0.0,1
122,119,113,0.0,1
116,122,122,0.3,2
122,116,113,0.0,2
113,116,116,0.0,2
119,122,113,0.0,2
113,113,113,0.0,2
116,113,113,0.0,2
143,113,113,0.0,2
119,116,122,0.0,3
113,122,200,0.0,3
116,119,116,0.0,3
143,116,116,0.0,1
116,122,143,0.0,2
113,113,113,0.0,2
116,113,113,0.0,2
119,122,122,0.0,3
122,122,122,0.0,2
119,116,113,0.0,2
113,119,122,0.0,3
119,119,116,0.0,2
122,116,116,0.0,3
122,122,122,0.0,2
122,122,122,0.0,2
113,113,122,0.0,2
122,122,122,0.0,3
122,122,122,0.0,1
119,116,116,0.0,1
122,122,113,0.0,1
113,113,113,0.0,1
113,113,119,0.0,1
113,113,116,0.0,1
113,113,116,0.0,1
113,113,122,0.0,1
143,113,116,0.0,1
119,119,116,0.0,1
119,119,119,0.0,1
119,116,119,0.0,1
116,119,116,0.0,1
119,116,116,0.0,1
116,116,116,0.0,1
116,119,116,0.0,1
119,116,116,0.0,1
176,113,113,0.0,1
116,200,122,0.0,1
116,113,113,0.0,1
119,122,116,0.0,1
113,116,116,0.0,1
122,122,116,0.0,1
113,119,113,0.0,1
122,122,116,0.0,1
116,122,122,0.0,1
122,122,122,0.0,1
122,122,122,0.0,1
122,122,122,0.0,1
122,122,119,0.0,1
113,119,113,0.0,1
116,122,119,0.0,1
143,122,122,0.0,1
119,122,116,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,116,116,0.0,1
119,116,116,0.0,1
248,113,113,0.0,1
119,119,116,0.0,1
116,116,116,0.0,1
119,305,116,0.0,1
122,119,119,0.0,1
122,122,119,0.0,1
122,266,116,0.0,1
113,113,113,0.0,1
113,116,119,0.0,1
113,113,113,0.0,1
122,116,116,0.0,1
113,113,113,0.0,1
143,116,122,0.0,1
122,116,116,0.0,1
122,302,116,0.0,1
116,116,113,0.0,1
116,116,116,0.0,1
116,119,116,0.0,1
122,122,248,0.0,1
122,200,122,0.0,1
248,122,122,0.0,1
116,302,116,0.0,1
122,113,113,0.0,1
113,113,113,0.0,1
116,122,116,0.0,1
122,122,122,0.0,1
116,113,113,0.0,1
119,113,119,0.0,1
113,113,119,0.0,1
113,119,116,0.0,1
116,113,113,0.0,1
119,113,122,0.0,1
113,119,116,0.0,1
119,122,116,0.0,1
113,113,116,0.0,1
113,119,122,0.0,1
113,116,113,0.0,1
113,116,113,0.0,1
113,116,113,0.0,1
119,116,116,0.0,1
116,116,116,0.0,1
122,113,119,0.0,1
113,119,119,0.0,1
113,113,113,0.0,1
113,116,116,0.0,1
113,116,116,0.0,1
116,116,116,0.0,1
122,122,122,0.0,1
116,113,119,0.0,1
122,122,122,0.0,1
122,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,122,119,0.0,1
116,116,113,0.0,1
143,122,113,0.0,1
116,119,353,0.0,1
116,119,302,0.0,1
119,113,113,0.0,1
113,113,113,0.0,1
122,122,122,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
116,116,113,0.0,1
116,113,116,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
119,113,113,0.0,1
119,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,116,113,0.0,1
200,116,113,0.0,1
113,113,122,0.0,1
122,113,113,0.0,1
113,113,113,0.0,1
116,122,116,0.0,1
116,119,119,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,116,113,0.0,1
113,122,113,0.0,1
122,122,119,0.0,1
122,122,113,0.0,1
116,113,113,0.0,1
113,113,113,0.0,1
116,122,113,0.0,1
116,113,116,0.0,1
122,122,122,0.0,1
122,122,119,0.0,1
116,119,116,0.0,1
113,113,113,0.0,1
113,200,122,0.0,1
113,113,113,0.0,1
122,122,119,0.0,1
119,122,119,0.0,1
119,122,122,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
119,113,116,0.0,1
119,113,113,0.0,5
113,113,113,0.0,6
113,113,116,0.0,4
113,116,113,0.0,5
113,119,116,0.0,4
113,116,116,0.0,5
113,116,116,0.0,5
119,116,113,0.0,6
113,113,113,0.0,6
116,122,119,0.0,5
116,116,200,0.0,5
116,116,122,0.0,5
122,122,116,0.0,4
116,113,113,0.0,4
113,116,122,0.0,5
116,116,116,0.0,5
113,116,113,0.0,5
116,116,116,0.0,5
116,116,113,0.0,5
113,113,113,0.0,6
113,200,200,0.0,6
119,116,116,0.0,4
116,122,113,0.0,4
119,122,122,0.0,5
113,116,122,0.0,4
122,122,122,0.0,4
113,113,116,0.0,4
116,116,113,0.0,6
113,113,200,0.0,5
122,119,353,0.0,6
116,116,116,0.0,5
113,116,119,0.0,4
113,113,116,0.0,1
113,113,113,0.0,1
119,119,116,0.0,1
116,116,116,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,116,0.0,1
113,113,113,0.0,1
113,119,116,0.0,1
143,116,113,0.0,1
122,116,116,0.0,1
116,113,116,0.0,1
113,116,122,0.0,1
200,200,200,0.0,1
119,116,116,0.0,1
119,116,116,0.0,1
116,116,116,0.0,1
116,116,116,0.0,1
113,119,122,0.0,1
122,116,113,0.0,1
113,113,113,0.0,1
122,119,116,0.0,1
143,119,116,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,1
113,113,113,0.0,4
113,113,113,0.0,4
116,113,113,0.0,1
113,116,122,0.0,1
122,116,122,0.0,5
